# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-1.703999999999999959e+00,-5.150938270561522585e-15,1.284858631532961461e-12
-1.703999999999999959e+00,4.199062730782973184e-15,1.290009569803522983e-12
-1.703999999999999959e+00,-3.353518284691591618e-14,1.285810507072740010e-12
-1.703999999999999959e+00,2.063532105406608179e-14,1.319345689919655926e-12
-1.703999999999999959e+00,1.150339763123790297e-15,1.298710368865589845e-12
-1.703999999999999959e+00,1.495177761701191538e-14,1.297560029102466054e-12
-1.703999999999999959e+00,1.458588260997589142e-14,1.282608251485454139e-12
-1.703999999999999959e+00,-2.353210033345032048e-14,1.268022368875478247e-12
-1.703999999999999959e+00,4.978595820867101751e-15,1.291554469208928568e-12
-1.703999999999999959e+00,6.385940120798394059e-15,1.286575873388061466e-12
-1.703999999999999959e+00,2.221851871725208253e-14,1.280189933267263072e-12
-1.703999999999999959e+00,-3.055250241000074678e-14,1.257971414550010990e-12
-1.703999999999999959e+00,2.821571174387230756e-14,1.288523916960011736e-12
-1.760000000000000009e+00,-4.622535633756708559e-14,1.260308205216139429e-12
-1.760000000000000009e+00,3.619465080861663656e-14,1.306533561553706514e-12
-1.760000000000000009e+00,4.975122124622506277e-15,1.270338910745089878e-12
-1.760000000000000009e+00,-2.733290360224000191e-14,1.265363788620467372e-12
-1.760000000000000009e+00,4.686913095078587609e-15,1.292696692222707373e-12
-1.760000000000000009e+00,-2.791850622374013788e-14,1.288009779127628786e-12
-1.760000000000000009e+00,2.760488230358333300e-14,1.315928285351368924e-12
-1.760000000000000009e+00,-8.781612633859886789e-15,1.288323403047785591e-12
-1.760000000000000009e+00,6.042440135144022733e-15,1.297105015681645478e-12
