pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
1.666,780945843.902,993167010.965,925259280.578,1180400627.973
0.122,-19973085.01,1774112854.867,-15542402.145,2105659908.551
1.572,72087409.152,1754139769.857,76552500.543,2090117506.406
-0.331,-16457499.347,1826227179.009,-12220773.045,2166670006.95
1.53,31713598.289,1809769679.662,25632017.723,2154449233.905
2.144,384920873.402,1841483277.951,469416668.516,2180081251.628
2.387,186999894.719,2226404151.353,224500940.315,2649497920.144
2.903,148745700.051,2413404046.072,167204117.791,2873998860.459
1.391,-35375413.602,2562149746.123,-16763236.809,3041202978.25
1.386,-12741314.468,2526774332.521,-21894333.571,3024439741.441
0.484,-9760102.39,2514033018.053,-8389999.227,3002545407.87
1.733,30758043.403,2504272915.662,21432921.332,2994155408.642
-2.627,-1569169338.06,2535030959.066,-1836061379.258,3015588329.975
0.006,30563703.144,965861621.006,4255233.362,1179526950.716
-0.743,1108274.029,996425324.15,616911.041,1183782184.078
-2.801,-43016345.279,997533598.179,-25254312.14,1184399095.119
-1.938,-771535.814,954517252.899,-4477038.623,1159144782.979
-0.375,23628079.523,953745717.086,2274342.015,1154667744.357
-1.825,-22175007.801,977373796.609,-3888656.758,1156942086.372
-1.235,9335293.004,955198788.808,-1337949.406,1153053429.613
-1.127,3351475.4,964534081.812,281939.318,1151715480.208
2.877,1473215257.201,967885557.212,1738104991.253,1151997419.526
2.606,133403738.277,2441100814.412,168031959.058,2890102410.779
1.619,-16333338.127,2574504552.689,-12471507.965,3058134369.837
-0.664,-171423867.879,2558171214.562,-190702010.523,3045662861.872
1.765,114126396.081,2386747346.683,139658566.212,2854960851.349
-2.471,-1536481514.801,2500873742.764,-1813625623.093,2994619417.561
2.949,1530518154.856,964392227.963,1772997786.656,1180993794.468
-0.782,-392664500.987,2494910382.819,-438290461.511,2953991581.124
-2.949,-1142698020.784,2102245881.832,-1343938260.98,2515701119.613
1.494,686253473.45,959547861.048,773755809.349,1171762858.633
-0.529,-33132205.823,1645801334.498,-28993864.078,1945518667.981
2.776,837440513.732,1612669128.675,993634927.489,1916524803.904
-1.882,-1459978771.859,2450109642.406,-1704701416.141,2910159731.392
-1.943,-13069821.331,990130870.548,-21087275.492,1205458315.251
-2.696,-22243037.53,977061049.217,-29036281.513,1184371039.759
-0.301,24784220.827,954818011.687,3658887.571,1155334758.246
-0.984,-4180423.545,979602232.513,-721556.121,1158993645.817
-2.581,-21594218.075,975421808.969,-7884840.589,1158272089.697
-0.9,18315644.691,953827590.894,3464452.102,1150387249.108
-1.044,-2387492.812,972143235.584,-1648544.75,1153851701.21
0.79,35259282.202,969755742.772,36338117.121,1152203156.461
0.977,66319804.656,1005015024.975,77938798.355,1188541273.581
0.123,1174869.879,1071334829.631,-1377914.937,1266480071.936
0.889,5573145.767,1072509699.51,4416695.356,1265102156.999
-1.755,-117511881.896,1078082845.276,-111053540.861,1269518852.355
-0.662,21682177.988,960570963.381,1123034.643,1158465311.494
2.274,1286296648.479,982253141.368,1517952707.261,1159588346.137
1.599,16047001.665,2268549789.847,39613976.599,2677541053.398
-0.674,-169786936.71,2284596791.512,-190005547.21,2717155029.997
2.379,302410909.366,2114809854.802,346050457.45,2527149482.787
1.391,-22755331.569,2417220764.168,-12790086.412,2873199940.237
-0.388,-19867926.876,2394465432.599,-23498229.297,2860409853.826
-0.881,-469297580.553,2374597505.723,-535986249.867,2836911624.529
2.923,574872645.238,1905299925.169,642625415.938,2300925374.663
-1.762,-1465005981.57,2480172570.407,-1712395166.374,2943550790.601
1.614,834064662.616,1015166588.837,952598554.933,1231155624.227
-0.188,-28818600.314,1849231251.453,-17874899.856,2183754179.16
-0.099,-9668054.854,1820412651.14,-8867129.393,2165879279.304
1.597,78278150.854,1810744596.285,92403002.15,2157012149.91
-2.121,-921853313.562,1889022747.14,-1073217856.726,2249415152.06
2.99,1414369826.693,967169433.577,1635941300.916,1176197295.334
-1.752,-1382760267.589,2381539260.27,-1601286943.741,2812138596.251
-0.997,13033923.11,998778992.681,-3151355.416,1210851652.51
-2.173,-54341406.553,1011812915.792,-46037492.956,1207700297.094
-0.762,25493703.623,957471509.238,2166543.565,1161662804.138
1.081,162067492.136,982965212.861,186655138.607,1163829347.703
0.844,1953588.517,1145032704.997,-350991.86,1350484486.309
0.259,1165469.186,1146986293.514,-751511.398,1350133494.449
-0.233,-592907.275,1148151762.7,-1791138.584,1349381983.052
0.388,-1082121.737,1147558855.425,-884719.312,1347590844.468
0.941,4344089.264,1146476733.688,4636095.505,1346706125.156
1.381,286316973.413,1150820822.952,334573387.462,1351342220.661
2.499,888861467.456,1437137796.365,1068347647.114,1685915608.122
-2.382,-1365132946.75,2325999263.821,-1586073073.875,2754263255.236
-0.04,28845627.267,960866317.071,3099173.961,1168190181.362
-2.498,-39067050.609,989711944.339,-18764172.647,1171289355.322
-2.848,-2258454.707,950644893.73,-6951393.404,1152525182.675
1.383,480715798.952,948386439.022,534734883.431,1145573789.272
-0.582,-31605155.249,1429102237.974,-31626382.024,1680308672.703
-2.61,-449468035.115,1397497082.725,-496714730.086,1648682290.679
0.043,27849670.183,948029047.61,3520719.867,1151967560.593
-2.221,-29912318.519,975878717.793,-10347399.503,1155488280.46
2.772,1402632632.047,945966399.273,1626393246.329,1145140880.957
-1.376,-1254501142.382,2348599031.32,-1448760933.284,2771534127.285
0.143,18933200.803,1094097888.938,695883.144,1322773194.001
-1.527,-91296235.044,1113031089.741,-92805872.744,1323469077.145
-2.884,-71121590.314,1021734854.697,-81204886.633,1230663204.401
1.475,582065359.732,950613264.382,656477613.043,1149458317.768
0.61,-11829686.237,1532678624.114,-6539808.15,1805935930.811
-0.282,-5813345.903,1520848937.877,-2905298.014,1799396122.661
2.598,827138472.547,1515035591.974,974482673.762,1796490824.648
-0.091,-55005139.37,2342174064.521,-36329039.79,2770973498.409
-1.806,-1294374133.352,2287168925.151,-1534041756.062,2734644458.619
0.178,22665592.553,992794791.799,833013.124,1200602702.557
2.546,1330531137.235,1015460384.352,1570690005.765,1201435715.68
-2.735,-1392568614.171,2345991521.587,-1610452796.266,2772125721.446
-1.785,-1363841.671,953422907.415,-11943686.415,1161672925.18
-1.43,4091853.117,952059065.744,-234585.351,1149729238.764
-0.364,17713008.002,956150918.861,2082561.135,1149494653.413
1.998,1113806759.788,973863926.863,1318751055.024,1151577214.548
1.435,4986962.406,2087670686.651,19466683.365,2470328269.572
2.929,365676657.368,2092657649.056,428002664.244,2489794952.937
0.189,-49235622.515,2458334306.424,-38191777.628,2917797617.181
2.609,90482636.219,2409098683.909,100167459.295,2879605839.553
2.213,30264536.363,2499581320.129,35489963.788,2979773298.847
-1.152,-1124616294.678,2529845856.492,-1307308935.042,3015263262.635
0.226,10834982.408,1405229561.814,-3314682.022,1707954327.593
-2.427,-459614123.025,1416064544.222,-539983466.634,1704639645.571
-0.815,23317373.836,956450421.197,261170.176,1164656178.938
0.433,4600437.436,979767795.033,264681.449,1164917349.114
-1.972,-31529009.795,984368232.468,-14013450.558,1165182030.563
2.633,1397412988.767,952839222.674,1604888026.642,1151168580.005
-1.366,-1258986971.239,2350252211.44,-1439582913.082,2756056606.647
2.238,1208380959.231,1091265240.201,1393838026.162,1316473693.564
2.339,89233565.263,2299646199.432,132691259.03,2710311719.727
0.942,-41988046.759,2388879764.695,-24044922.033,2843002978.756
